Provider CCN,Hospital Name,Fiscal Year Begin Date,Fiscal Year End Date,number_of_beds
441314,LAUDERDALE COMMUNITY HOSPITAL,10/1/2020,12/31/2020,25
341317,LIFEBRITE COMMUNITY HOPITAL OF STOK,10/1/2020,12/31/2020,65
511320,JACKSON GENERAL HOSPITAL,10/1/2020,12/31/2020,25
520011,LAKEVIEW MEDICAL CENTER OF RICE LAKE,10/1/2020,12/31/2020,40
520037,MARSHFIELD MEDICAL CENTER,10/1/2020,12/31/2020,198
30147,BANNER OCOTILLO MEDICAL CENTER,11/17/2020,12/31/2020,94
340141,NEW HANOVER REGIONAL MEDICAL CENTER,10/1/2020,1/31/2021,800
150045,PARKVIEW - DEKALB HEALTH,10/1/2020,12/31/2020,57
230118,MCLAREN THUMB REGION,10/1/2020,1/29/2021,31
300005,LAKES REGION GENERAL HOSPITAL,10/1/2020,4/30/2021,96
50660,USC NORRIS CANCER HOSPITAL,10/1/2020,12/31/2020,60
50696,KECK HOSPITAL OF USC,10/1/2020,12/31/2020,331
190146,EAST JEFFERSON GENERAL HOSPITAL,10/1/2020,12/31/2020,335
490001,NORTON COMMUNITY HOSPITAL  INC.,10/1/2020,2/27/2021,73
364064,SUNRISEVISTA HEALTH AND WELLNESS,11/21/2020,3/31/2021,72
420057,MCLEOD MED CTR - DARLINGTON,10/1/2020,12/31/2020,59
260064,SSM HEALTH-ST. MARYS AUDRAIN,1/1/2021,3/15/2021,60
271337,NORTHERN ROCKIES MEDICAL CENTER,10/1/2020,5/31/2021,20
180070,OWENSBORO HEALTH TWIN LAKES MEDICAL,1/1/2021,5/31/2021,49
30146,HONORHEALTH SONORAN CROSSING MED CTR,10/29/2020,12/31/2020,70
520107,HOLY FAMILY MEMORIAL INC,1/1/2021,6/30/2021,58
340050,S.E. REGL MEDICAL CENTER,10/1/2020,6/30/2021,373
271324,PONDERA MEDICAL CENTER,1/1/2021,5/31/2021,79
413025,REHAB HOSP OF RI,1/1/2021,3/31/2021,82
670300,METHODIST MIDLOTHIAN MEDICAL CENTER,3/24/2021,6/30/2021,46
50136,PETALUMA VALLEY HOSPITAL,1/1/2021,6/30/2021,80
111333,JEFF DAVIS,10/1/2020,9/30/2021,35
490084,VCU HEALTH TAPPAHANNOCK HOSPITAL,1/1/2021,6/30/2021,67
50124,VERDUGO HILLS HOSPITAL,1/1/2021,6/30/2021,158
141337,OSF SAINT CLARE MEDICAL CENTER,5/1/2021,6/30/2021,25
320065,COVENANT HEALTH HOBBS HOSPITAL,1/1/2021,6/30/2021,61
510050,WHEELING HOSPITAL,10/1/2020,9/30/2021,367
510007,ST. MARYS MEDICAL CENTER  INC.,10/1/2020,9/30/2021,379
420026,PROVIDENCE HOSPITAL,10/1/2020,7/31/2021,332
454152,CANYON CREEK HOSPITAL,12/31/2020,5/31/2021,17
101993,DAYSTAR  INC.,10/1/2020,9/30/2021,
100029,NORTH SHORE MEDICAL CENTER AND FMC C,6/1/2021,7/31/2021,748
100183,CORAL GABLES HOSPITAL,1/1/2021,7/31/2021,245
100187,PALMETTO GENERAL HOSPITAL,1/1/2021,7/31/2021,360
520213,FROEDTERT HLTH NEIGHORHOOD HOSP LLC,12/22/2020,6/30/2021,16
100053,HIALEAH HOSPITAL,6/1/2021,7/31/2021,340
200008,MERCY HOSPITAL,10/1/2020,9/30/2021,103
450272,CHRISTUS SANTA ROSA - SAN MARCOS,1/1/2021,6/30/2021,115
241364,COMMUNITY MEMORIAL HOSPITAL,10/1/2020,9/30/2021,66
241373,PERHAM MEMORIAL HOSPITAL AND HOME,10/1/2020,9/30/2021,121
140062,PALOS COMMUNITY HOSPITAL,1/1/2021,8/31/2021,413
443033,QUILLEN REHABILITATION HOSPITAL  A,10/1/2020,9/30/2021,31
521320,TOMAH MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
60054,COMMUNITY HOSPITAL,1/1/2021,12/31/2021,44
490033,WARREN MEMORIAL HOSPITAL,10/1/2020,9/30/2021,166
14015,BEACON CHILDRENS HOSPITAL,1/1/2021,12/31/2021,
70031,THE GRIFFIN HOSPITAL,10/1/2020,9/30/2021,119
240044,WINONA HEALTH SERVICES,10/1/2020,9/30/2021,41
241320,RIVERVIEW HEALTHCARE ASSOCIATION,10/1/2020,9/30/2021,49
421303,WILLIAMSBURG REGIONAL HOSPITAL,10/1/2020,9/30/2021,25
363034,ENCOMPASS HEALTH REHABILITATION HOSP,10/1/2020,9/30/2021,100
420072,HAMPTON REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,32
11300,WASHINGTON COUNTY HOSPITAL,10/1/2020,9/30/2021,103
13301,USA CHILDRENS AND WOMENS HOSPITAL,10/1/2020,9/30/2021,247
340188,CAPE FEAR VALLEY HOKE HOSPITAL,10/1/2020,9/30/2021,41
341315,BLADEN COUNTY HOSPITAL,10/1/2020,9/30/2021,25
341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
371301,PRAGUE COMMUNITY HOSPITAL,1/1/2021,9/30/2021,25
420007,SPARTANBURG REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,716
420103,PELHAM MEDICAL CENTER,10/1/2020,9/30/2021,48
421300,ALLENDALE COUNTY HOSPITAL,10/1/2020,9/30/2021,69
214020,J KENT MCNEW FAMILY MEDICAL CENTER,12/4/2020,6/30/2021,16
70018,GREENWICH HOSPITAL,10/1/2020,9/30/2021,186
111326,SGMC  LANIER CAMPUS,10/1/2020,9/30/2021,87
220012,CAPE COD HOSPITAL,10/1/2020,9/30/2021,259
220049,MARLBOROUGH HOSPITAL,10/1/2020,9/30/2021,67
301309,MONADNOCK COMMUNITY HOSPITAL,10/1/2020,9/30/2021,25
420015,PH BAPTIST EASLEY HOSPITAL,10/1/2020,9/30/2021,59
521351,REEDSBURG AREA MEDICAL CENTER,10/1/2020,9/30/2021,25
14014,BAYPOINTE BEHAVIORAL HEALTH,10/1/2020,9/30/2021,
141337,OSF SAINT CLARE MEDICAL CENTER,7/1/2021,9/30/2021,25
220010,LAWRENCE GENERAL HOSPITAL,10/1/2020,9/30/2021,186
340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,10/1/2020,9/30/2021,154
340107,VIDANT EDGECOMBE HOSPITAL,10/1/2020,9/30/2021,117
340120,DUPLIN GENERAL HOSPITAL,10/1/2020,9/30/2021,49
340142,CARTERET COUNTY GENERAL HOSPITAL COM,10/1/2020,9/30/2021,99
340186,VIDANT BEAUFORT HOSPITAL,10/1/2020,9/30/2021,83
410010,WOMEN & INFANTS HOSPITAL,10/1/2020,9/30/2021,247
470005,RUTLAND REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,119
471300,GRACE COTTAGE HOSPITAL,10/1/2020,9/30/2021,19
70039,MASONICARE HEALTH CENTER,10/1/2020,9/30/2021,466
193028,BATON ROUGE REHAB HOSPITAL,10/1/2020,9/30/2021,81
220116,TUFTS MEDICAL CENTER,10/1/2020,9/30/2021,405
250018,JASPER GENERAL HOSPITAL,10/1/2020,9/30/2021,20
250036,GEORGE COUNTY HOSPITAL,10/1/2020,9/30/2021,39
251337,TIPPAH COUNTY HOSPITAL,10/1/2020,9/30/2021,65
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,10/1/2020,9/30/2021,3
421304,EDGEFIELD COUNTY HEALTHCARE,10/1/2020,9/30/2021,25
450399,BROWNFIELD REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,26
493036,SHELTERING ARMS INSTITUTE,10/1/2020,9/30/2021,114
520062,OCONOMOWOC MEMORIAL HOSPITAL,10/1/2020,9/30/2021,58
133028,SAINT ALPHONSUS REGIONAL REHABILITAT,10/1/2020,9/30/2021,40
341304,BERTIE MEMORIAL HOSPITAL,10/1/2020,9/30/2021,6
341318,CHOWAN HOSPITAL INC.,10/1/2020,9/30/2021,25
420102,PH PATEWOOD HOSPITAL,10/1/2020,9/30/2021,64
421301,ABBEVILLE AREA MEDICAL CENTER,10/1/2020,9/30/2021,25
450108,CONNALLY MEMORIAL MEDICAL CENTER,10/1/2020,9/30/2021,44
100062,ADVENTHEALTH OCALA,10/1/2020,9/30/2021,385
141339,TAYLORVILLE MEMORIAL HOSPITAL,10/1/2020,9/30/2021,25
301301,COTTAGE HOSPITAL,10/1/2020,9/30/2021,35
301302,LITTLETON REGIONAL HEALTHCARE,10/1/2020,9/30/2021,25
300005,CONCORD HOSPITAL - LACONIA,5/1/2021,9/30/2021,86
410009,KENT COUNTY MEMORIAL HOSPITAL,10/1/2020,9/30/2021,343
420048,KERSHAW HEALTH,10/1/2020,7/31/2021,165
453304,TEXAS CHILDRENS HOSPITAL,10/1/2020,9/30/2021,861
40050,OUACHITA COUNTY MEDICAL CENTER,10/1/2020,9/30/2021,93
70040,HEBREW HOME & HOSPITAL,10/1/2020,9/30/2021,38
140135,DECATUR MEMORIAL HOSPITAL,10/1/2020,9/30/2021,178
140167,IROQUOIS MEMORIAL HOSPITAL,10/1/2020,9/30/2021,61
140206,NORWEGIAN AMERICAN HOSPITAL,10/1/2020,9/30/2021,185
250081,ANDERSON REGIONAL MED CTR-SOUTH CAMP,10/1/2020,9/30/2021,69
330250,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL,10/1/2020,9/30/2021,354
470011,BRATTLEBORO MEMORIAL HOSPITAL,10/1/2020,9/30/2021,47
471305,COPLEY HOSPITAL  INC.,10/1/2020,9/30/2021,25
40067,MAGNOLIA REGIONAL HEALTH SYSTEM  INC,10/1/2020,9/30/2021,29
50146,CITY OF HOPE NATIONAL MEDICAL CTR,10/1/2020,9/30/2021,217
70033,DANBURY HOSPITAL,10/1/2020,9/30/2021,368
70034,NORWALK HOSPITAL,10/1/2020,9/30/2021,238
140058,PASSAVANT AREA HOSPITAL,10/1/2020,9/30/2021,121
300023,EXETER HOSPITAL  INC.,10/1/2020,9/30/2021,99
490005,WINCHESTER MEDICAL CENTER,10/1/2020,9/30/2021,512
41327,BRADLEY COUNTY MEDICAL CENTER,10/1/2020,9/30/2021,33
130006,ST. LUKES REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,579
130071,ST. LUKES NAMPA MEDICAL CENTER,10/1/2020,9/30/2021,87
220031,BOSTON MEDICAL CENTER,10/1/2020,9/30/2021,428
331302,ELIZABETHTOWN COMMUNITY HOSPITAL,10/1/2020,9/30/2021,25
520210,MARSHFIELD MEDICAL CENTER-EAU CLAIRE,10/1/2020,9/30/2021,44
521343,STOUGHTON HOSPITAL ASSOCIATION,10/1/2020,9/30/2021,27
521359,MEMORIAL MEDICAL CENTER  INC.,10/1/2020,9/30/2021,35
70004,SHARON HOSPITAL,10/1/2020,9/30/2021,83
140148,MEMORIAL MEDICAL CENTER,10/1/2020,9/30/2021,459
301312,HUGGINS HOSPITAL,10/1/2020,9/30/2021,25
330084,ALICE HYDE MEDICAL CENTER,10/1/2020,9/30/2021,212
340123,RANDOLPH HOSPITAL,10/1/2020,9/30/2021,145
471303,NORTHEASTERN VT REGIONAL HOPSITAL,10/1/2020,9/30/2021,25
471304,NORTH COUNTRY HOSPITAL & HEALTH CTR,10/1/2020,9/30/2021,25
520109,MILE BLUFF MEDICAL CENTER  INC.,10/1/2020,9/30/2021,172
50002,ST ROSE HOSPITAL,10/1/2020,9/30/2021,153
180009,KINGS DAUGHTERS MEDICAL CENTER,10/1/2020,9/30/2021,387
220063,LOWELL GENERAL HOSPITAL,10/1/2020,9/30/2021,390
300001,CONCORD HOSPITAL  INC.,10/1/2020,9/30/2021,221
371318,FAIRFAX COMMUNITY HOSPITAL,10/1/2020,9/30/2021,15
380002,THREE RIVERS MEDICAL CENTER,10/1/2020,9/30/2021,125
380005,ASHLAND COMMUNITY HOSPITAL,10/1/2020,9/30/2021,36
380018,ROGUE REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,352
471301,GIFFORD MEDICAL CENTER,10/1/2020,9/30/2021,25
70028,ST. VINCENTS MEDICAL CENTER,10/1/2020,9/30/2021,302
100266,GULF BREEZE HOSPITAL,10/1/2020,9/30/2021,65
140114,SWEDISH COVENANT HEALTH,10/1/2020,9/30/2021,242
340097,HUGH CHATHAM MEMORIAL HOSPITAL,10/1/2020,9/30/2021,81
70029,BRISTOL HOSPITAL  INC,10/1/2020,9/30/2021,120
123025,REHABILITATION HOSPITAL OF THE PACIF,10/1/2020,9/30/2021,82
140213,SILVER CROSS HOSPITAL,10/1/2020,9/30/2021,300
220052,BROCKTON HOSPITAL  INC.,10/1/2020,9/30/2021,197
471306,SPRINGFIELD HOSPITAL,10/1/2020,9/30/2021,35
670132,METHODIST SOUTHLAKE HOSPITAL,10/1/2020,5/31/2021,54
50624,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,10/1/2020,9/30/2021,357
103027,ST JOHNS REHABILITATION HOSPITAL,10/1/2020,9/30/2021,207
130002,ST LUKES MAGIC VALLEY REG MED CTR,10/1/2020,9/30/2021,217
131312,ST. LUKES MCCALL,10/1/2020,9/30/2021,15
140015,BLESSING HOSPITAL,10/1/2020,9/30/2021,327
141315,BCC DBA ILLINI COMMUNITY HOSPITAL,10/1/2020,9/30/2021,35
200063,PENOBSCOT BAY MEDICAL CENTER,10/1/2020,9/30/2021,165
220070,MELROSEWAKEFIELD HEALTHCARE  INC,10/1/2020,9/30/2021,216
222000,SPAULDING HOSPITAL CAMBRIDGE,10/1/2020,9/30/2021,180
240052,LAKE REGION HEALTHCARE,10/1/2020,9/30/2021,94
341324,THE OUTER BANKS HOSPITAL,10/1/2020,9/30/2021,21
380050,SKY LAKES MEDICAL CENTER,10/1/2020,9/30/2021,90
470024,NORTHWESTERN MEDICAL CENTER,10/1/2020,9/30/2021,53
471307,PORTER HOSPITAL,10/1/2020,9/30/2021,25
14017,EASTPOINTE HOSPITAL,10/1/2020,9/30/2021,66
110075,EAST GEORGIA REGIONAL MEDICAL CENTER,10/1/2020,9/30/2021,142
141317,GIBSON AREA HOSPITAL AND HEALTH SVCS,10/1/2020,9/30/2021,67
150082,DEACONESS HOSPITAL,10/1/2020,9/30/2021,549
230167,MCLAREN GREATER LANSING,10/1/2020,9/30/2021,249
230193,MCLAREN LAPEER REGION,10/1/2020,9/30/2021,131
444023,WOODRIDGE OF WEST TENNESSEE  LLC,1/1/2021,12/31/2021,40
70006,THE STAMFORD HOSPITAL,10/1/2020,9/30/2021,305
101312,FISHERMENS HOSPITAL,10/1/2020,9/30/2021,8
